feature,unique_values,dataset
id,8846,residential_rent
title,7769,residential_rent
currency,1,residential_rent
price_period,1,residential_rent
price_type,1,residential_rent
property_type,13,residential_rent
location,999,residential_rent
share_url,8846,residential_rent
category,1,residential_rent
record_type,1,residential_rent
geo_validation_status,1,residential_rent
h3_res8,459,residential_rent
h3_res9,753,residential_rent
compound_name,47,residential_rent
id,13655,residential_sale
title,12276,residential_sale
currency,1,residential_sale
price_period,1,residential_sale
price_type,1,residential_sale
property_type,17,residential_sale
location,1483,residential_sale
share_url,13655,residential_sale
category,1,residential_sale
record_type,1,residential_sale
geo_validation_status,1,residential_sale
h3_res8,891,residential_sale
h3_res9,1231,residential_sale
compound_name,203,residential_sale
id,8546,commercial_rent
title,7693,commercial_rent
currency,1,commercial_rent
price_period,1,commercial_rent
price_type,1,commercial_rent
property_type,19,commercial_rent
location,1133,commercial_rent
share_url,8546,commercial_rent
category,1,commercial_rent
record_type,1,commercial_rent
geo_validation_status,2,commercial_rent
h3_res8,500,commercial_rent
h3_res9,817,commercial_rent
compound_name,37,commercial_rent
id,6691,commercial_sale
title,6218,commercial_sale
currency,1,commercial_sale
price_period,1,commercial_sale
price_type,1,commercial_sale
property_type,18,commercial_sale
location,1226,commercial_sale
share_url,6691,commercial_sale
category,1,commercial_sale
record_type,1,commercial_sale
geo_validation_status,2,commercial_sale
h3_res8,616,commercial_sale
h3_res9,938,commercial_sale
compound_name,54,commercial_sale
